year_and_month,relative_frequency
1950-05,0.000239629
1950-06,0.000382614
1950-09,0.000207125
1950-10,0.000637172
1950-11,0.000500651
1950-12,0.000341634
1951-01,0.000534841
1951-02,0.000309954
1951-03,0.000417915
1951-04,0.000519337
1951-05,0.000450799
1951-06,0.000520833
1951-09,0.000423669
1951-10,0.000125929
1951-11,0.000280367
1951-12,0.000234018
1952-01,0.000213961
1952-02,0.000168403
1952-03,0.000203267
1952-04,0.000221562
1952-05,0.000148765
1952-06,0.000257136
1952-09,0.000786395
1952-10,0.000407267
1952-11,0.000202881
1952-12,0.000149626
1953-01,0.000171984
1953-02,0.000482548
1953-03,0.000331243
1953-04,0.000237614
1953-05,0.000592008
1953-06,0
1953-09,0.000926784
1953-10,0.000276258
1953-11,0.000315358
1953-12,0.000314515
1954-01,0.000224215
1954-02,0.000523931
1954-03,0.000262364
1954-04,0.000504975
1954-05,0.00061788
1954-06,0
1954-09,0.001126489
1954-10,0.000499702
1954-11,0.000341862
1954-12,0.000324781
1955-01,0
1955-02,0.000207706
1955-03,0.000488897
1955-04,0.000551131
1955-05,0.000572179
1955-10,0.000506596
1955-11,0.000471684
1955-12,0.000564148
1956-01,0.000478858
1956-02,0.000326125
1956-03,0.000467548
1956-04,0.000511422
1956-05,0.000291837
1956-09,0.000502159
1956-10,0.0002336
1956-11,0.000290951
1956-12,0.000209231
1957-01,0.000429715
1957-02,0.000136584
1957-03,0.000208923
1957-04,0.000184289
1957-05,0.000213824
1957-06,0
1957-09,0.0004002
1957-10,0.000166744
1957-11,0.000193205
1957-12,6.67E-05
1958-01,9.93E-05
1958-02,0.000147782
1958-03,0.000274111
1958-04,0.000253732
1958-05,0.00027721
1958-06,0.000128617
1958-09,0.000145465
1958-10,0.00015259
1958-11,0.00019723
1958-12,0.000106576
1959-01,0
1959-02,0.000111264
1959-03,0.000125208
1959-04,0.000145069
1959-05,0.000127577
1959-09,0.000158265
1959-10,1.73E-05
1959-11,8.17E-05
1959-12,4.01E-05
1960-01,7.43E-05
1960-02,2.01E-05
1960-03,5.85E-05
1960-04,4.00E-05
1960-05,0.000125376
1960-10,7.51E-05
1960-11,5.89E-05
1960-12,9.69E-05
1961-01,8.05E-05
1961-02,0.00013988
1961-03,0.000142464
1961-04,0.000100424
1961-05,7.49E-05
1961-09,0.000154369
1961-10,4.08E-05
1961-11,0.000264271
1961-12,0.000195611
1962-01,9.14E-05
1962-02,0.000122892
1962-03,0.000116555
1962-04,9.69E-05
1962-05,3.80E-05
1962-06,0
1962-09,0.000132644
1962-10,0.000112994
1962-11,0.000183824
1962-12,0.000163164
1963-01,0.000223901
1963-02,6.27E-05
1963-03,6.16E-05
1963-04,6.48E-05
1963-05,0.000318471
1963-06,0.00015266
1963-09,0.000196425
1963-10,5.45E-05
1963-11,2.22E-05
1963-12,5.91E-05
1964-01,0
1964-02,0
1964-03,0
1964-04,0
1964-05,4.81E-05
1964-06,0
1964-09,0
1964-10,4.57E-05
1964-11,0
1964-12,0
1965-01,0
1965-02,2.42E-05
1965-03,0
1965-04,8.49E-05
1965-05,0.000308375
1965-09,0.000134481
1965-10,0.000273523
1965-11,4.87E-05
1965-12,0
1966-01,0.000107296
1966-02,2.77E-05
1966-03,4.94E-05
1966-04,3.86E-05
1966-05,0.00015089
1966-09,5.12E-05
1966-10,0
1966-11,0
1966-12,0
1967-02,7.98E-05
1967-03,0
1967-04,0
1967-05,0
1967-09,0.000225346
1967-10,0.000143525
1967-11,0
1967-12,0
1968-02,1.83E-05
1968-03,4.69E-05
1968-04,2.98E-05
1968-05,0
1968-09,0
1968-10,0
