year,religion,count
1947,Catholicism,2
1947,Hinduism,6
1947,Islam,15
1947,Buddhism,1
1934,Catholicism,13
1934,Judaism,17
1934,Islam,3
1934,Buddhism,1
1922,Islam,1
1922,Baha'i,1
1922,Buddhism,3
1922,Hinduism,12
1922,Judaism,7
1922,Catholicism,3
1959,Interfaith,67
1959,Judaism,11
1959,Buddhism,8
1959,Catholicism,19
1945,Catholicism,5
1945,Islam,1
1945,Judaism,10
1919,Buddhism,1
1919,Confucianism,2
1919,Judaism,8
1919,Taoism,1
1919,Catholicism,3
1919,Islam,4
1953,Catholicism,13
1953,Hinduism,2
1953,Islam,6
1953,Judaism,23
1953,Shinto,1
1953,Buddhism,1
1936,Islam,5
1936,Hinduism,1
1936,Catholicism,12
1936,Judaism,8
1957,Buddhism,20
1957,Interfaith,22
1957,Catholicism,7
1957,Islam,8
1957,Judaism,10
1957,Confucianism,16
1957,Hinduism,6
1957,Taoism,1
1926,Judaism,16
1926,Catholicism,10
1926,Hinduism,1
1926,Islam,1
1926,Buddhism,1
1918,Buddhism,5
1918,Confucianism,1
1918,Hinduism,6
1918,Catholicism,1
1918,Judaism,1
1918,Islam,3
1967,Catholicism,7
1967,Interfaith,22
1967,Judaism,27
1967,Zoroastrianism,1
1967,Buddhism,2
1967,Islam,1
1932,Hinduism,2
1932,Islam,3
1932,Catholicism,8
1932,Judaism,16
1932,Buddhism,10
1932,Taoism,1
1932,Confucianism,1
1942,Judaism,6
1942,Catholicism,8
1942,Hinduism,2
1942,Islam,6
1928,Hinduism,6
1928,Judaism,7
1928,Catholicism,5
1928,Buddhism,4
1950,Catholicism,4
1950,Judaism,8
1950,Hinduism,4
1950,Buddhism,3
1950,Zoroastrianism,1
1929,Catholicism,6
1929,Judaism,10
1929,Hinduism,5
1929,Buddhism,1
1937,Catholicism,7
1937,Judaism,22
1937,Hinduism,8
1937,Baha'i,2
1941,Judaism,10
1941,Catholicism,5
1941,Hinduism,1
1914,Catholicism,1
